seed,turn,greedy_step,phase,pool_active,best_die,fatigue_before,energy_budget,energy_used_before,energy_remaining_before,candidate,category,energy_cost,rpe,rpe_max,ctl_gain,quality_gain,legal,illegal_reason,excluded_only_by_rpe,delta_energy_term,delta_quality_term,delta_rpe_term,delta_fatigue_term,marginal_utility,decomposition_residual,utility_before,utility_after,projected_spend,projected_offset,projected_q,projected_q_delta,projected_s,projected_s_delta,projected_recovery,projected_recovery_delta,projected_fatigue_raw,projected_fatigue_final,projected_overtraining,distance_to_ot,bust_probability,rank,selected,decision,stop_reason,available_count,pool_permanent,cumulative_ctl_before,quality_total_before,completions_before,rpe_counterfactual_competitive,rpe_counterfactual_first,rpe_counterfactual_rank
3,12,2,long_run_sl,8-8-8-6-6-6,8,-8,25,5,20,SL8,SL,8,8,7,8,1,False,rpe_max,True,0.96,1.5,0.053571428571428575,0.0,2.513571428571429,4.440892098500626e-16,2.7785714285714285,5.292142857142857,13,-11,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,15,8-8-8-6-6-6,141,15,"{""EF1"": 2, ""EF2"": 5, ""EF3"": 4, ""EF4"": 3, ""EF5"": 7, ""SL5"": 2, ""SL6"": 2, ""SL7"": 3, ""Seuil3"": 5, ""Seuil4"": 3}",True,True,1
3,13,2,long_run_sl,8-8-8-8-6-6,8,-8,21,5,16,SL7,SL,7,7,6,7,1,False,rpe_max,True,1.0,1.5,0.04166666666666666,0.0,2.541666666666667,4.440892098500626e-16,2.9226190476190474,5.464285714285714,12,-13,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,15,8-8-8-8-6-6,159,17,"{""EF1"": 2, ""EF2"": 6, ""EF3"": 4, ""EF4"": 3, ""EF5"": 8, ""SL5"": 2, ""SL6"": 2, ""SL7"": 4, ""Seuil3"": 5, ""Seuil4"": 4}",True,True,2
3,13,2,long_run_sl,8-8-8-8-6-6,8,-8,21,5,16,SL8,SL,8,8,6,8,1,False,rpe_max,True,1.142857142857143,1.5,0.06249999999999997,0.0,2.7053571428571432,4.440892098500626e-16,2.9226190476190474,5.627976190476191,13,-12,0,0,2,2,-4,0,-10,-8,False,16,0.25,,False,not_highest_rpe_sl,,15,8-8-8-8-6-6,159,17,"{""EF1"": 2, ""EF2"": 6, ""EF3"": 4, ""EF4"": 3, ""EF5"": 8, ""SL5"": 2, ""SL6"": 2, ""SL7"": 4, ""Seuil3"": 5, ""Seuil4"": 4}",True,True,1
3,15,2,long_run_sl,8-8-8-8-6-6,8,-8,20,5,15,SL8,SL,8,8,7,8,1,False,rpe_max,True,1.2000000000000002,1.5,0.053571428571428575,0.0,2.753571428571428,-4.440892098500626e-16,2.9285714285714284,5.682142857142857,13,-12,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,15,8-8-8-8-6-6,199,21,"{""EF1"": 2, ""EF2"": 8, ""EF3"": 4, ""EF4"": 4, ""EF5"": 10, ""SL5"": 2, ""SL6"": 3, ""SL7"": 4, ""SL8"": 1, ""Seuil3"": 5, ""Seuil4"": 6}",True,True,1
3,16,2,long_run_sl,8-8-8-8-6-6,8,-8,26,5,21,SL8,SL,8,8,7,8,1,False,rpe_max,True,0.923076923076923,1.5,0.053571428571428575,0.0,2.476648351648352,4.440892098500626e-16,2.7554945054945055,5.232142857142857,13,-12,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,15,8-8-8-8-6-6,218,23,"{""EF1"": 2, ""EF2"": 8, ""EF3"": 5, ""EF4"": 4, ""EF5"": 11, ""SL5"": 2, ""SL6"": 3, ""SL7"": 5, ""SL8"": 1, ""Seuil3"": 5, ""Seuil4"": 7}",True,True,1
4,10,2,long_run_sl,8-8-6-6-6-6,8,-8,22,5,17,SL6,SL,6,6,5,6,1,False,rpe_max,True,0.8181818181818182,1.5,0.025000000000000022,0.0,2.3431818181818187,4.440892098500626e-16,2.9318181818181817,5.275,11,-12,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,13,8-8-6-6-6-6,111,11,"{""EF1"": 2, ""EF2"": 2, ""EF3"": 4, ""EF4"": 5, ""EF5"": 5, ""SL5"": 2, ""SL6"": 2, ""SL7"": 1, ""Seuil3"": 5, ""Seuil4"": 1}",True,True,2
4,10,2,long_run_sl,8-8-6-6-6-6,8,-8,22,5,17,SL7,SL,7,7,5,7,1,False,rpe_max,True,0.9545454545454545,1.5,0.04999999999999999,0.0,2.504545454545454,-4.440892098500626e-16,2.9318181818181817,5.4363636363636365,12,-11,0,0,2,2,-4,0,-10,-8,False,16,0.25,,False,not_highest_rpe_sl,,13,8-8-6-6-6-6,111,11,"{""EF1"": 2, ""EF2"": 2, ""EF3"": 4, ""EF4"": 5, ""EF5"": 5, ""SL5"": 2, ""SL6"": 2, ""SL7"": 1, ""Seuil3"": 5, ""Seuil4"": 1}",True,True,1
4,14,2,long_run_sl,8-8-8-8-6-6,8,-8,25,5,20,SL9,SL,9,9,8,9,1,False,rpe_max,True,1.08,1.5,0.0625,0.0,2.6424999999999996,-4.440892098500626e-16,2.75625,5.39875,14,-11,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,191,19,"{""EF1"": 3, ""EF2"": 4, ""EF3"": 5, ""EF4"": 7, ""EF5"": 9, ""SL5"": 3, ""SL6"": 2, ""SL7"": 2, ""SL8"": 2, ""Seuil3"": 5, ""Seuil4"": 5}",True,True,1
4,15,2,long_run_sl,8-8-8-8-6-6,8,-8,23,5,18,SL9,SL,9,9,8,9,1,False,rpe_max,True,1.173913043478261,1.5,0.0625,0.0,2.7364130434782608,0.0,2.8084239130434785,5.544836956521739,14,-11,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,210,21,"{""EF1"": 3, ""EF2"": 5, ""EF3"": 5, ""EF4"": 7, ""EF5"": 10, ""SL5"": 3, ""SL6"": 2, ""SL7"": 2, ""SL8"": 3, ""Seuil3"": 5, ""Seuil4"": 6}",True,True,1
4,16,2,long_run_sl,8-8-8-8-6-6,8,-8,24,5,19,SL8,SL,8,8,7,8,1,False,rpe_max,True,1.0,1.5,0.053571428571428575,0.0,2.553571428571429,4.440892098500626e-16,2.8035714285714284,5.357142857142857,13,-12,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,233,23,"{""EF1"": 3, ""EF2"": 6, ""EF3"": 5, ""EF4"": 8, ""EF5"": 11, ""SL5"": 3, ""SL6"": 2, ""SL7"": 2, ""SL8"": 4, ""Seuil3"": 5, ""Seuil4"": 7}",True,True,2
4,16,2,long_run_sl,8-8-8-8-6-6,8,-8,24,5,19,SL9,SL,9,9,7,9,1,False,rpe_max,True,1.125,1.5,0.07142857142857142,0.0,2.696428571428571,-4.440892098500626e-16,2.8035714285714284,5.5,14,-11,0,0,2,2,-4,0,-10,-8,False,16,0.25,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,233,23,"{""EF1"": 3, ""EF2"": 6, ""EF3"": 5, ""EF4"": 8, ""EF5"": 11, ""SL5"": 3, ""SL6"": 2, ""SL7"": 2, ""SL8"": 4, ""Seuil3"": 5, ""Seuil4"": 7}",True,True,1
5,9,2,long_run_sl,8-8-6-6-6,8,-8,15,5,10,SL6,SL,6,6,5,6,1,False,rpe_max,True,1.1999999999999997,1.5,0.025000000000000022,-0.75,1.9749999999999996,0.0,3.25,5.225,11,-9,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,13,8-8-6-6-6,86,9,"{""EF1"": 1, ""EF2"": 4, ""EF3"": 4, ""EF4"": 3, ""EF5"": 3, ""SL5"": 2, ""SL6"": 1, ""Seuil3"": 3, ""Seuil4"": 2, ""Seuil5"": 1}",False,False,2
